Date,Signal,Price,Shares
2020-04-07,BUY,62.875762939453125,159.04379577277822
2020-10-15,BUY,117.55001831054688,119.63410794443928
2020-10-19,SELL,112.94385528564452,116.57842976406272
2020-11-13,BUY,116.33834838867188,112.94287458785405
2020-11-23,SELL,111.06087493896484,109.58364768492687
2020-12-01,BUY,119.71359252929688,101.4516855689242
2021-01-20,BUY,128.79550170898438,101.86454140563447
2021-08-12,BUY,145.9248809814453,95.52185186530775
2021-08-27,SELL,145.6406707763672,96.20813071912818
2022-06-06,BUY,143.8324432373047,97.22330752211484
2022-10-24,BUY,147.2945098876953,90.15930910111035
2022-12-07,SELL,139.13768005371094,88.91647142940799
2023-05-08,BUY,171.5428009033203,71.97025981526821
2023-05-17,SELL,170.97811889648438,72.22957852528516
