Date,Signal,Price,Shares
2020-01-08,BUY,73.3075180053711,136.41165697721917
2020-02-21,SELL,75.8711929321289,133.32401596747948
2020-04-08,BUY,64.48505401611328,156.5531244386387
2020-07-06,BUY,90.8520050048828,152.36327661102433
2020-09-08,SELL,109.86656951904295,142.1100106882847
2020-10-13,BUY,117.9298095703125,132.14371986929353
2020-10-21,SELL,113.81053924560548,131.4240027853201
2020-11-12,BUY,116.2895736694336,128.35970616676036
2020-11-24,SELL,112.34855651855467,129.84795690567572
2020-12-01,BUY,119.71359252929688,121.61288531744282
2021-01-05,BUY,127.80050659179688,123.05846105617744
2021-01-06,SELL,123.4985122680664,118.91609249232182
2021-01-07,BUY,127.71270751953124,114.7540279899032
2021-01-15,SELL,124.02528381347656,113.17838909816237
2021-01-20,BUY,128.79550170898438,108.76380862788845
2021-05-10,SELL,124.13782501220705,105.95721434194792
2021-06-14,BUY,127.6902313232422,102.79671678329596
2021-07-06,BUY,138.98350524902344,101.21119161507235
2021-09-14,SELL,145.17019653320312,100.24338862212548
2021-10-20,BUY,146.28753662109375,99.28209691874366
2022-02-01,BUY,171.38243103027344,100.88039038958779
2022-04-12,SELL,164.77056884765625,102.0428777996045
2022-05-31,BUY,146.48983764648438,114.54419297545897
2022-06-13,SELL,129.79763793945312,110.15889057504576
2022-06-24,BUY,139.42320251464844,102.33078578972999
2022-07-06,BUY,140.66331481933594,99.37250172319807
2022-08-30,SELL,156.6180419921875,97.85154010544966
2022-10-28,BUY,153.49378967285156,99.65232644086205
2022-11-04,SELL,136.6104278564453,99.45828454804979
2022-11-14,BUY,146.38380432128906,92.62059977740488
2022-12-08,SELL,140.82579040527344,93.74433414750368
2023-01-04,BUY,124.7441177368164,105.61508162194993
2023-02-17,SELL,150.8291473388672,104.81804052676735
2023-03-17,BUY,153.25149536132812,102.97211890377584
2023-04-11,SELL,158.98609924316406,102.19044774228826
2023-05-05,BUY,171.61203002929688,94.48541091100489
2023-05-16,SELL,170.36427307128906,94.48541091100489
2023-05-18,BUY,173.31472778320312,92.69048729817189
2023-05-22,SELL,172.47314453125,92.18246918203775
2023-05-31,BUY,175.49290466308594,90.41412092436576
